Time,DurationTime,Center of Cross Hair.x,CameraRotation.x,Center of Cross Hair.y(m),Center of Crosshair(degree),CameraRotation.y,mousepos.x,mousepos.y,Speed.x,Speed.y,Speed(m/s),Starting to move,Target,Spawn Position.x,Spawn Position.y,Spawn Position.z,On Target,Leave Target,Shot,Destroy of Target,Hap1,Hap2,Ray Distance
,0.35,,,,,,,,,,0.060989948,0,,,,,0,,,0,,,
,0.354167,,,,,,,,,,0.058012548,0,,,,,0,,,0,,,
,0.358333,,,,,,,,,,0.054438854,0,,,,,0,,,0,,,
,0.3625,,,,,,,,,,0.049947158,0,,,,,0,,,0,,,
,0.366667,,,,,,,,,,0.046754281,0,,,,,0,,,0,,,
,0.370833,,,,,,,,,,0.042604258,0,,,,,0,,,0,,,
,0.375,,,,,,,,,,0.037847185,0,,,,,0,,,0,,,
,0.379167,,,,,,,,,,0.031060219,0,,,,,0,,,0,,,
,0.383333,,,,,,,,,,0.022997485,0,,,,,0,,,0,,,
,0.3875,,,,,,,,,,0.015634679,0,,,,,0,,,0,,,
,0.391667,,,,,,,,,,0.010809093,0,,,,,0,,,0,,,
,0.395833,,,,,,,,,,0.006458536,0,,,,,0,,,0,,,
,0.4,,,,,,,,,,0.00530236,0,,,,,0,,,0,,,
,0.404167,,,,,,,,,,0.007564763,0,,,,,0,,,0,,,
,0.408333,,,,,,,,,,0.010430739,0,,,,,0,,,0,,,
,0.4125,,,,,,,,,,0.012367467,0,,,,,0,,,0,,,
,0.416667,,,,,,,,,,0.014733497,0,,,,,0,,,0,,,
,0.420833,,,,,,,,,,0.01554108,0,,,,,0,,,0,,,
,0.425,,,,,,,,,,0.014789347,0,,,,,0,,,0,,,
,0.429167,,,,,,,,,,0.013967291,0,,,,,0,,,0,,,
,0.433333,,,,,,,,,,0.012894756,0,,,,,0,,,0,,,
,0.4375,,,,,,,,,,0.010449347,0,,,,,0,,,0,,,
,0.441667,,,,,,,,,,0.00912223,0,,,,,0,,,0,,,
,0.445833,,,,,,,,,,0.006962664,0,,,,,0,,,0,,,
,0.45,,,,,,,,,,0.004968295,0,,,,,0,,,0,,,
,0.454167,,,,,,,,,,0.003787037,0,,,,,0,,,0,,,
,0.458333,,,,,,,,,,0.003011037,0,,,,,0,,,0,,,
,0.4625,,,,,,,,,,0.002305402,0,,,,,0,,,0,,,
,0.466667,,,,,,,,,,0.002334805,0,,,,,0,,,0,,,
,0.470833,,,,,,,,,,0.002230314,0,,,,,0,,,0,,,
,0.475,,,,,,,,,,0.002138343,0,,,,,0,,,0,,,
,0.479167,,,,,,,,,,0.002276001,0,,,,,0,,,0,,,
,0.483333,,,,,,,,,,0.002387177,0,,,,,0,,,0,,,
,0.4875,,,,,,,,,,0.002511443,0,,,,,0,,,0,,,
,0.491667,,,,,,,,,,0.002708461,0,,,,,0,,,0,,,
,0.495833,,,,,,,,,,0.002188468,0,,,,,0,,,0,,,
,0.5,,,,,,,,,,0.002246628,0,,,,,0,,,0,,,
,0.504167,,,,,,,,,,0.002914226,0,,,,,0,,,0,,,
,0.508333,,,,,,,,,,0.003009183,0,,,,,0,,,0,,,
,0.5125,,,,,,,,,,0.003079905,0,,,,,0,,,0,,,
,0.516667,,,,,,,,,,0.003572032,0,,,,,0,,,0,,,
,0.520833,,,,,,,,,,0.003894748,0,,,,,0,,,0,,,
,0.525,,,,,,,,,,0.003574269,0,,,,,0,,,0,,,
,0.529167,,,,,,,,,,0.003875826,0,,,,,0,,,0,,,
,0.533333,,,,,,,,,,0.003634309,0,,,,,0,,,0,,,
,0.5375,,,,,,,,,,0.00380272,0,,,,,0,,,0,,,
,0.541667,,,,,,,,,,0.003166216,0,,,,,0,,,0,,,
,0.545833,,,,,,,,,,0.003015928,0,,,,,0,,,0,,,
,0.55,,,,,,,,,,0.002494121,0,,,,,0,,,0,,,
,0.554167,,,,,,,,,,0.00240752,0,,,,,0,,,0,,,
,0.558333,,,,,,,,,,0.001818473,0,,,,,0,,,0,,,
,0.5625,,,,,,,,,,0.001915513,0,,,,,0,,,0,,,
,0.566667,,,,,,,,,,0.001593934,0,,,,,0,,,0,,,
,0.570833,,,,,,,,,,0.00176331,0,,,,,0,,,0,,,
,0.575,,,,,,,,,,0.002185499,0,,,,,0,,,0,,,
,0.579167,,,,,,,,,,0.002343782,0,,,,,0,,,0,,,
,0.583333,,,,,,,,,,0.003076671,0,,,,,0,,,0,,,
,0.5875,,,,,,,,,,0.003091267,0,,,,,0,,,0,,,
,0.591667,,,,,,,,,,0.00323596,0,,,,,0,,,0,,,
,0.595833,,,,,,,,,,0.002899642,0,,,,,0,,,0,,,
,0.6,,,,,,,,,,0.003075016,0,,,,,0,,,0,,,
,0.604167,,,,,,,,,,0.002318485,0,,,,,0,,,1,,,
,0.608333,,,,,,,,,,0.002470883,0,,,,,0,,,0,,,
,0.6125,,,,,,,,,,0.002706349,0,,,,,0,,,0,,,
